label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
EarphoneCase,362,2860,743,592,IMG_20260901_145319249_MP.jpg,3072,4096
EarphoneCase,43,2867,827,895,IMG_20260901_145321628_MP.jpg,3072,4096
ChargingCase,2023,2518,789,1047,IMG_20260901_145321628_MP.jpg,3072,4096
EarphoneCase,43,2989,675,804,IMG_20260901_145323659_MP.jpg,3072,4096
ChargingCase,1773,2662,660,751,IMG_20260901_145323659_MP.jpg,3072,4096
ChargingCase,1811,2283,766,713,IMG_20260901_145325417_MP.jpg,3072,4096
EarphoneCase,263,2496,645,804,IMG_20260901_145325417_MP.jpg,3072,4096
ChargingCase,2106,2670,857,971,IMG_20260901_145327168_MP.jpg,3072,4096
EarphoneCase,605,2382,713,539,IMG_20260901_145327168_MP.jpg,3072,4096
EarphoneCase,430,2753,584,584,IMG_20260901_145330211_MP.jpg,3072,4096
ChargingCase,1841,2458,531,721,IMG_20260901_145330211_MP.jpg,3072,4096
ChargingCase,1025,131,853,757,IMG_20260901_145408363_MP.jpg,4096,3072
EarphoneCase,1708,2224,592,597,IMG_20260901_145408363_MP.jpg,4096,3072
EarphoneCase,2478,2427,594,971,IMG_20260901_145410700_MP.jpg,3072,4096
ChargingCase,642,1426,743,865,IMG_20260901_145410700_MP.jpg,3072,4096
ChargingCase,453,2397,1191,705,IMG_20260901_145413411_MP.jpg,3072,4096
EarphoneCase,1371,652,721,705,IMG_20260901_145413411_MP.jpg,3072,4096
EarphoneCase,2053,2048,690,622,IMG_20260901_145427026.jpg,3072,4096
ChargingCase,460,1418,584,698,IMG_20260901_145427026.jpg,3072,4096
ChargingCase,2167,1267,630,880,IMG_20260901_145436412_MP.jpg,3072,4096
EarphoneCase,331,698,660,576,IMG_20260901_145436412_MP.jpg,3072,4096
EarphoneCase,13,2101,1297,1494,IMG_20260901_145549336_MP.jpg,3072,4096
ChargingCase,1439,667,1009,1608,IMG_20260901_145549336_MP.jpg,3072,4096
EarphoneCase,627,1214,1236,1487,IMG_20260901_145551864_HDR.jpg,3072,4096
ChargingCase,1856,887,1216,2010,IMG_20260901_145551864_HDR.jpg,3072,4096
EarphoneCase,89,1365,1289,1267,IMG_20260901_145553943_HDR.jpg,3072,4096
ChargingCase,946,1434,1365,1699,IMG_20260901_145553943_HDR.jpg,3072,4096
EarphoneCase,711,1365,1312,1047,IMG_20260901_145556833_HDR.jpg,3072,4096
ChargingCase,1530,341,910,1525,IMG_20260901_145556833_HDR.jpg,3072,4096
EarphoneCase,400,1267,1259,1130,IMG_20260901_145559195_HDR.jpg,3072,4096
ChargingCase,1720,235,1009,2162,IMG_20260901_145559195_HDR.jpg,3072,4096
EarphoneCase,650,1183,1168,1145,IMG_20260901_145602205_HDR.jpg,3072,4096
ChargingCase,1864,1070,1009,1206,IMG_20260901_145602205_HDR.jpg,3072,4096
EarphoneCase,764,1987,925,766,IMG_20260901_145603962_MP.jpg,3072,4096
ChargingCase,1560,1487,592,1123,IMG_20260901_145603962_MP.jpg,3072,4096
EarphoneCase,51,1790,1138,1206,IMG_20260901_145606965_HDR.jpg,3072,4096
ChargingCase,1310,1198,1047,1843,IMG_20260901_145606965_HDR.jpg,3072,4096
ChargingCase,0,1123,1416,1631,IMG_20260901_145618013_HDR.jpg,3072,4096
EarphoneCase,1477,1426,1206,1350,IMG_20260901_145618013_HDR.jpg,3072,4096
ChargingCase,476,1153,1244,1578,IMG_20260901_145619608_HDR.jpg,3072,4096
EarphoneCase,1659,1350,1009,1016,IMG_20260901_145619608_HDR.jpg,3072,4096
ChargingCase,620,281,1350,1737,IMG_20260901_145621610_HDR.jpg,3072,4096
EarphoneCase,1629,1464,1335,1153,IMG_20260901_145621610_HDR.jpg,3072,4096
ChargingCase,650,1214,1054,1032,IMG_20260901_145624188_HDR.jpg,3072,4096
EarphoneCase,1811,1373,842,1001,IMG_20260901_145624188_HDR.jpg,3072,4096
ChargingCase,923,2086,978,1206,IMG_20260901_145627625_HDR.jpg,3072,4096
EarphoneCase,1044,1654,933,743,IMG_20260901_145627625_HDR.jpg,3072,4096
ChargingCase,658,554,941,1479,IMG_20260901_145629922_HDR.jpg,3072,4096
EarphoneCase,1029,1684,1358,986,IMG_20260901_145629922_HDR.jpg,3072,4096
ChargingCase,0,1327,1204,1426,IMG_20260901_145633962_HDR.jpg,3072,4096
EarphoneCase,1204,1449,1077,1024,IMG_20260901_145633962_HDR.jpg,3072,4096
ChargingCase,377,1479,1236,1343,IMG_20260901_145635894_HDR.jpg,3072,4096
EarphoneCase,1553,1600,1115,971,IMG_20260901_145635894_HDR.jpg,3072,4096
EarphoneCase,1044,2556,614,569,IMG_20260901_145706339_MP.jpg,3072,4096
ChargingCase,1143,971,660,607,IMG_20260901_145706339_MP.jpg,3072,4096
EarphoneCase,825,1927,705,531,IMG_20260901_145710023_MP.jpg,3072,4096
ChargingCase,1940,941,614,667,IMG_20260901_145710023_MP.jpg,3072,4096
EarphoneCase,1742,2291,493,561,IMG_20260901_145713276_MP.jpg,3072,4096
ChargingCase,1355,1403,379,561,IMG_20260901_145713276_MP.jpg,3072,4096
ChargingCase,1993,1381,667,743,IMG_20260901_145715404_MP.jpg,3072,4096
EarphoneCase,605,2238,804,554,IMG_20260901_145715404_MP.jpg,3072,4096
EarphoneCase,58,1343,804,630,IMG_20260901_145717269_MP.jpg,3072,4096
ChargingCase,1871,941,705,842,IMG_20260901_145717269_MP.jpg,3072,4096
ChargingCase,1644,1335,675,660,IMG_20260901_145720064_MP.jpg,3072,4096
EarphoneCase,1507,2822,637,698,IMG_20260901_145720064_MP.jpg,3072,4096
EarphoneCase,718,2503,789,561,IMG_20260901_145722188_MP.jpg,3072,4096
ChargingCase,2076,1783,667,690,IMG_20260901_145722188_MP.jpg,3072,4096
ChargingCase,1750,1183,743,698,IMG_20260901_145728319_MP.jpg,3072,4096
EarphoneCase,567,1942,766,599,IMG_20260901_145728319_MP.jpg,3072,4096
EarphoneCase,1439,1874,705,683,IMG_20260901_145730165_MP.jpg,3072,4096
ChargingCase,878,842,743,531,IMG_20260901_145730165_MP.jpg,3072,4096
ChargingCase,2152,1972,690,743,IMG_20260901_145732058_MP.jpg,3072,4096
EarphoneCase,787,1995,743,455,IMG_20260901_145732058_MP.jpg,3072,4096
ChargingCase,976,1145,1259,1502,IMG_20260901_145909070_HDR.jpg,3072,4096
ChargingCase,445,865,1327,1563,IMG_20260901_145910841_HDR.jpg,3072,4096
ChargingCase,1287,1638,1123,941,IMG_20260901_145912520_HDR.jpg,3072,4096
ChargingCase,1166,1881,880,1130,IMG_20260901_145914720_HDR.jpg,3072,4096
ChargingCase,991,1691,857,1221,IMG_20260901_145919333_HDR.jpg,3072,4096
ChargingCase,916,971,1358,1654,IMG_20260901_145955725_HDR.jpg,3072,4096
ChargingCase,733,1153,1563,1760,IMG_20260901_145957494_HDR.jpg,3072,4096
ChargingCase,658,903,1062,1965,IMG_20260901_145959934_MP.jpg,3072,4096
ChargingCase,506,941,1077,1646,IMG_20260901_150004481_HDR.jpg,3072,4096
ChargingCase,1993,2207,1079,1464,IMG_20260901_150011879_HDR.jpg,3072,4096
ChargingCase,278,1252,2169,1843,IMG_20260901_150017410_HDR.jpg,3072,4096
ChargingCase,1113,872,1070,1335,IMG_20260901_150021396_HDR.jpg,3072,4096
ChargingCase,627,1790,1456,1047,IMG_20260901_150024152_HDR.jpg,3072,4096
ChargingCase,324,425,2063,2071,IMG_20260901_150025842_HDR.jpg,3072,4096
ChargingCase,779,789,1418,1722,IMG_20260901_150031097_HDR.jpg,3072,4096
ChargingCase,726,1244,2002,1373,IMG_20260901_150034024_MP.jpg,3072,4096
ChargingCase,506,1942,1760,1699,IMG_20260901_150036645_MP.jpg,3072,4096
ChargingCase,870,622,1327,1426,IMG_20260901_150038984_HDR.jpg,3072,4096
ChargingCase,256,1032,1949,1798,IMG_20260901_150043007_MP.jpg,3072,4096
ChargingCase,749,2040,1722,1623,IMG_20260901_150046375_HDR.jpg,3072,4096
ChargingCase,969,1016,1077,1107,IMG_20260901_150048239_HDR.jpg,3072,4096
ChargingCase,1173,569,963,1669,IMG_20260901_150051831_MP.jpg,3072,4096
ChargingCase,1189,933,774,1396,IMG_20260901_150057140_HDR.jpg,3072,4096
ChargingCase,1022,781,1244,1767,IMG_20260901_150100882_HDR.jpg,3072,4096
ChargingCase,650,1600,713,1229,IMG_20260901_150104489_HDR.jpg,3072,4096
ChargingCase,536,978,1161,1631,IMG_20260901_150108448_MP.jpg,3072,4096
ChargingCase,809,2260,1077,865,IMG_20260901_150119070_HDR.jpg,3072,4096
ChargingCase,1052,1737,1001,1047,IMG_20260901_150121170_MP.jpg,3072,4096
ChargingCase,900,1001,759,1214,IMG_20260901_150123991_MP.jpg,3072,4096
EarphoneCase,1052,1669,1214,1092,IMG_20260901_150129310_MP.jpg,3072,4096
EarphoneCase,991,994,1676,1289,IMG_20260901_150131813_MP.jpg,3072,4096
EarphoneCase,938,1100,1100,834,IMG_20260901_150134723_MP.jpg,3072,4096
EarphoneCase,794,1820,1115,1085,IMG_20260901_150136743_MP.jpg,3072,4096
EarphoneCase,1173,1729,971,1032,IMG_20260901_150139257_MP.jpg,3072,4096
EarphoneCase,1386,963,1191,1077,IMG_20260901_150140864_HDR.jpg,3072,4096
EarphoneCase,885,1472,1578,1327,IMG_20260901_150143333_MP.jpg,3072,4096
EarphoneCase,991,1252,918,918,IMG_20260901_150147061_HDR.jpg,3072,4096
EarphoneCase,1098,1350,1198,1502,IMG_20260901_150149053_MP.jpg,3072,4096
EarphoneCase,1090,1259,1191,1381,IMG_20260901_150151553_MP.jpg,3072,4096
EarphoneCase,961,1418,1456,1267,IMG_20260901_150155245_MP.jpg,3072,4096
EarphoneCase,718,1570,1335,1214,IMG_20260901_150158990_MP.jpg,3072,4096
EarphoneCase,1272,1532,1183,1259,IMG_20260901_150200427_HDR.jpg,3072,4096
EarphoneCase,840,1509,1085,1320,IMG_20260901_150203196_HDR.jpg,3072,4096
EarphoneCase,620,1525,1790,1297,IMG_20260901_150205078_HDR.jpg,3072,4096
EarphoneCase,1386,1502,1032,1305,IMG_20260901_150206908_HDR.jpg,3072,4096
EarphoneCase,862,1805,1267,1305,IMG_20260901_150209371_HDR.jpg,3072,4096
EarphoneCase,726,2040,1570,1236,IMG_20260901_150211624_MP.jpg,3072,4096
EarphoneCase,764,2002,819,986,IMG_20260901_150213759_HDR.jpg,3072,4096
EarphoneCase,1248,1006,943,898,IMG_20260901_150224247_MP.jpg,3264,2448
EarphoneCase,1307,14,1437,1083,IMG_20260901_150232701_MP.jpg,3264,2448
EarphoneCase,1370,73,1064,1390,IMG_20260901_150234256_MP.jpg,2448,3264
EarphoneCase,597,1499,1064,961,IMG_20260901_150235515_MP.jpg,2448,3264
EarphoneCase,748,798,1203,1034,IMG_20260901_150236860_MP.jpg,2448,3264
EarphoneCase,572,1118,1076,937,IMG_20260901_150238271_MP.jpg,2448,3264
EarphoneCase,0,961,863,979,IMG_20260901_150239246_MP.jpg,2448,3264
EarphoneCase,1443,991,1005,1015,IMG_20260901_150240327_MP.jpg,2448,3264
EarphoneCase,905,314,786,870,IMG_20260901_150244213_MP.jpg,2448,3264
EarphoneCase,530,1070,852,719,IMG_20260901_150245393_MP.jpg,2448,3264
EarphoneCase,808,840,798,949,IMG_20260901_150246836_MP.jpg,2448,3264
EarphoneCase,572,997,756,725,IMG_20260901_150248712_MP.jpg,2448,3264
EarphoneCase,778,574,756,979,IMG_20260901_150250606_MP.jpg,2448,3264
EarphoneCase,143,1330,889,798,IMG_20260901_150253228_MP.jpg,2448,3264
EarphoneCase,34,1064,925,731,IMG_20260901_150254310_MP.jpg,2448,3264
EarphoneCase,875,895,834,756,IMG_20260901_150255939_MP.jpg,2448,3264
EarphoneCase,597,1499,737,822,IMG_20260901_150257326_MP.jpg,2448,3264
EarphoneCase,470,1668,786,725,IMG_20260901_150258708_MP.jpg,2448,3264
ChargingCase,748,1185,707,737,IMG_20260901_150301568_MP.jpg,2448,3264
ChargingCase,512,985,1028,949,IMG_20260901_150303085_MP.jpg,2448,3264
ChargingCase,572,949,1360,1209,IMG_20260901_150305046_MP.jpg,2448,3264
ChargingCase,554,1433,858,1015,IMG_20260901_150306756_MP.jpg,2448,3264
ChargingCase,373,1022,1142,889,IMG_20260901_150308807_MP.jpg,2448,3264
ChargingCase,1104,308,840,1009,IMG_20260901_150310805_MP.jpg,2448,3264
ChargingCase,476,647,882,1161,IMG_20260901_150313126_MP.jpg,2448,3264
ChargingCase,941,508,901,1275,IMG_20260901_150315095_MP.jpg,2448,3264
ChargingCase,609,1173,840,1112,IMG_20260901_150316920_MP.jpg,2448,3264
ChargingCase,476,1656,828,931,IMG_20260901_150321466_MP.jpg,2448,3264
ChargingCase,657,1082,1197,949,IMG_20260901_150323553_MP.jpg,2448,3264
ChargingCase,675,1251,1221,876,IMG_20260901_150325092_MP.jpg,2448,3264
ChargingCase,705,1112,671,1106,IMG_20260901_150326995_MP.jpg,2448,3264
ChargingCase,488,1505,1118,617,IMG_20260901_150328700_MP.jpg,2448,3264
ChargingCase,597,1457,665,695,IMG_20260901_150330872_MP.jpg,2448,3264
ChargingCase,693,1451,822,774,IMG_20260901_150336633.jpg,2448,3264
ChargingCase,488,846,889,949,IMG_20260901_150338179_MP.jpg,2448,3264
ChargingCase,464,1402,1112,653,IMG_20260901_150339699_MP.jpg,2448,3264
ChargingCase,693,1596,701,919,IMG_20260901_150341344_MP.jpg,2448,3264
ChargingCase,530,1590,961,804,IMG_20260901_150343017_MP.jpg,2448,3264
ChargingCase,282,1034,1185,828,IMG_20260901_150344113_MP.jpg,2448,3264
ChargingCase,198,550,997,1106,IMG_20260901_150346059_MP.jpg,2448,3264
ChargingCase,742,0,1402,737,IMG_20260901_150347314_MP.jpg,2448,3264
ChargingCase,603,520,1118,1028,IMG_20260901_150349578_MP.jpg,2448,3264
ChargingCase,627,1148,1161,1088,IMG_20260901_150350834_MP.jpg,2448,3264
ChargingCase,458,345,1348,1046,IMG_20260901_150352923_MP.jpg,2448,3264
